DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0090022, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.234382, 98, 5661, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.6267182, 161, 9210, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0060026, 15, 908, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0199966, 24, 1399, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.6420899, 268, 15278, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 1.2369364, 253, 14544, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 151, 2.1677903, 234, 13235, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 189, 4.7089155, 337, 19132, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0.0010001, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.000998, 2, 162, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0129996, 20, 1168, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0059989, 14, 852, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.026002, 51, 2832, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0139991, 70, 4023, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0669994, 189, 10824, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.3289251, 604, 34497, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0, 1, 108, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 22, 0.6751295, 595, 33901, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0088631, 2, 123, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0010001, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009995, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0109774, 3, 233, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0421178, 10, 573, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0079967, 33, 2524, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0358859, 109, 7173, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0347236, 76, 12371, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0242325, 43, 12172, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0119683, 70, 11586, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.2669776, 849, 73400, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0098857, 14, 57594, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 33, 0.0259402, 32, 58662, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.065811, 54, 60000, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0010011, 4, 58002, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0069848, 14, 58202, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0212742, 23, 58319, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.1150191, 66, 60940, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.152978, 58, 60456, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.2402479, 67, 60733, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0051756, 15, 58183, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0127541, 15, 57732, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1240326, 49, 59911, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.4921083, 92, 62066, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.983067, 104, 62635, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 2.3912072, 170, 66211, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0007602, 4, 422, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0090363, 23, 2553, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0260761, 80, 5402, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0191881, 37, 4913, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.024128, 138, 11912, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0759117, 221, 70149, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.0029994, 2, 57188, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0021267, 2, 57318, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.012006, 9, 57464, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 57451, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010026, 0, 57364, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 57027, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0010024, 0, 56768, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0079002, 2, 57196, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 57639, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 56909, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009845, 0, 57120, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0158173, 5, 57367, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0949985, 22, 58174, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 2, 151, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0060159, 4, 275, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0289986, 89, 5051, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0380215, 96, 5576, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0649788, 126, 7209, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 1, 80, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.146445, 444, 25638, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 25, 0.0199973, 39, 2196, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0340474, 39, 2233, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 42, 0.1458725, 134, 7595, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0049609, 11, 684, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0319999, 36, 2085, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0932109, 61, 3558, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.4201675, 173, 9886, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.4331102, 118, 6548, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0069981, 21, 1219, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0309981, 25, 1382, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.2402668, 95, 5436, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.814244, 160, 9109, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 2.1331567, 223, 12645, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 3.6874585, 270, 15334, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0029607, 8, 490, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0131045, 35, 1996, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0079988, 16, 952, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0230633, 67, 3806, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 14, 0.1410878, 269, 15363, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.3043234, 371, 21290, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.3361246, 286, 16150, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0010021, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009988, 1, 80, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0010005, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009996, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0149974, 5, 329, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0468408, 10, 632, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0010512, 2, 368, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0049514, 8, 734, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0198502, 55, 8215, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.2427004, 591, 39665, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.2296596, 427, 31567, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0019976, 6, 514, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 16, 0.0010003, 1, 57546, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0138982, 24, 58408, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 33, 0.0190995, 24, 58329, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.0501899, 41, 58821, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 0, 57150, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.002964, 9, 57992, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0191145, 23, 58387, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0619288, 39, 58742, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.1700017, 65, 60553, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.3461458, 91, 61900, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.003976, 9, 57734, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0130548, 16, 57715, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.1060042, 45, 59212, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.4706899, 85, 61545, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.877453, 95, 62106, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 2.2097933, 152, 65263, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0099996, 39, 2759, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0060023, 16, 3055, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0109952, 26, 2501, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 9.17E-05, 0, 100, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0020052, 3, 57408, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 56983, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0, 0, 56906, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.1189289, 99, 62277, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 57184, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009717, 0, 57039, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0.0010039, 0, 56630, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0009968, 0, 57169, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.001004, 1, 56646, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 57281, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0010063, 0, 56918, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 56879, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0010289, 1, 56658, 
DSMGA, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0757625, 19, 57774, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0009953, 2, 143, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0070825, 10, 567, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0179465, 58, 3295, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.1104259, 272, 15558, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0923125, 176, 10132, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0019761, 4, 236, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 20, 0.3304939, 914, 52182, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 29, 0.2792597, 511, 28946, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 37, 0.2950748, 376, 21349, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 48, 0.8267926, 737, 41837, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.002001, 6, 406, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0030455, 10, 604, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0321831, 40, 2278, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 55, 0.1490031, 91, 5180, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 73, 1.0257233, 392, 22344, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.4599017, 130, 7325, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0043448, 10, 586, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0383863, 46, 2645, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.4029512, 166, 9412, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.8013652, 159, 9019, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 3.5237128, 385, 21737, 
DSMGA, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 5.466276, 392, 22132, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0009991, 1, 111, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0050975, 6, 357, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0169023, 48, 2710, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.019013, 46, 2666, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0209986, 108, 6295, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.3242152, 973, 55568, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0.0009995, 1, 108, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 16, 0.0009983, 1, 112, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0100032, 7, 413, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0.0010176, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0009855, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0009489, 0, 50, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.010615, 2, 144, 
DSMGA, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0149209, 2, 135, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0009996, 3, 420, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0080406, 27, 2106, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0370241, 120, 10111, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0442173, 104, 21640, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0726645, 147, 18625, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0010133, 2, 57859, 
DSMGA, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.2704093, 728, 93702, 
