GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0078889, 0, 50, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 56768, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0.0009978, 2, 57196, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 57639, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0, 0, 56909, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 57120, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0029997, 5, 57367, 
GeneticAlgorithm`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0121532, 22, 58174, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0.0036475, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0134793, 49, 4050, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0948744, 337, 27762, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0933014, 306, 25143, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0099998, 30, 2465, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.1082597, 547, 45240, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.0843541, 224, 18491, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0146925, 43, 3521, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 32, 0.0201819, 46, 3784, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.1539033, 286, 23589, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 2, 180, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0070282, 26, 2133, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.038744, 89, 7336, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.050118, 81, 6671, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.2454347, 295, 24186, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 89, 0.4043493, 412, 33699, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0030345, 12, 1001, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0895026, 215, 17723, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 75, 0.334433, 401, 32874, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 111, 0.854146, 719, 58800, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 147, 0.3338845, 223, 18302, 
EncodedGA`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 184, 0.5346153, 252, 20634, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0020145, 11, 926, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0020003, 12, 1047, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.1375115, 515, 42493, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.237623, 751, 61707, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0030273, 19, 1606, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0026219, 10, 872, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.1554367, 403, 33081, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.4049533, 863, 70873, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.4418109, 771, 63236, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0.0010356, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0009999, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.0009983, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0, 0, 50, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0071084, 7, 581, 
EncodedGA`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0161209, 19, 1555, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0010003, 3, 4316, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.0680267, 251, 48482, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.02206, 72, 31082, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.25692, 694, 59439, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0.0010011, 1, 45370, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 17, 0.1041489, 349, 110964, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 24, 0.0106682, 32, 84714, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 32, 0.0120663, 28, 84411, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 40, 0.034342, 64, 87219, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0, 4, 83082, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.004016, 18, 83769, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0282649, 67, 87624, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0631225, 96, 89860, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.1329483, 154, 94600, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.2264335, 211, 99119, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.004001, 17, 83660, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0191002, 49, 86138, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.0892693, 118, 91635, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.1441439, 129, 92402, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.8651683, 552, 126913, 
EncodedGA`1, UniformCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 0.6353196, 351, 110440, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0.0010001, 0, 100, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0010006, 8, 1630, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0210786, 107, 9834, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.016069, 68, 48047, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 11, 0.0140003, 51, 65882, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0.0113086, 74, 7731, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0317175, 139, 93683, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 13, 0.1386123, 396, 114621, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 17, 0.0130001, 34, 84940, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 20, 0.0030184, 7, 82572, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 6, 0, 0, 82563, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 12, 0, 0, 82138, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 45, 18, 0, 0, 82105, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 24, 0, 0, 82024, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 75, 30, 0, 0, 81956, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0, 0, 82295, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.000898, 0, 82159, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 60, 27, 0.0004998, 0, 82024, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 80, 36, 0.0111447, 15, 83158, 
EncodedGA`1, UniformCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 100, 45, 0.0143266, 16, 83192, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 3, 3, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 6, 6, 0.0002591, 2, 151, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 12, 12, 0.0005004, 4, 275, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 18, 18, 0.013318, 89, 5051, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 24, 24, 0.0180721, 96, 5576, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 30, 0.0262741, 126, 7209, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 5, 5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 10, 0, 1, 80, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.0748698, 444, 25638, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 30, 25, 0.0080395, 39, 2196, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 35, 0.0098527, 39, 2233, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 50, 42, 0.0405518, 134, 7595, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 10, 9, 0.0010001, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 18, 0.001999, 11, 684, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 36, 0.0088857, 36, 2085, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 60, 54, 0.0215624, 61, 3558, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 72, 0.0799209, 173, 9886, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 100, 90, 0.0713927, 118, 6548, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 20, 19, 0.0029998, 21, 1219, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 40, 38, 0.0120297, 25, 1382, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 80, 76, 0.0554326, 95, 5436, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 120, 114, 0.1055423, 160, 9109, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 160, 152, 0.2162544, 223, 12645, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryStandardDeceptiveConcatenationEvaluation, 200, 190, 0.3040921, 270, 15334, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 5, 2.5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 15, 7.5, 0.0009936, 8, 490, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 10, 0.0054175, 35, 1996, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 25, 12.5, 0.0029371, 16, 952, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 10, 5, 0, 0, 50, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 20, 9, 0.0112407, 67, 3806, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 30, 14, 0.0620406, 269, 15363, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 40, 18, 0.1190252, 371, 21290, 
GeneticAlgorithm`1, OnePointCrossover, CBinaryBimodalDeceptiveConcatenationEvaluation, 50, 21, 0.0788712, 286, 16150, 
